Question Number,Topic,Skill,Blank,Incorrect,Correct,Partial
Q1,2.5 ,7.2 ,1,11,4,0
Q2,1.1 ,1.5 ,1,7,8,0
Q3,3.8 ,6.4 ,1,12,3,0
Q4,2.2 ,7.2 ,1,12,3,0
Q5,4.2 ,2.2 ,1,10,5,0
Q6,4.3 ,6.4 ,1,15,0,0
Q7,2.6 ,1.4 ,1,6,9,0
Q8,2.6 ,1.4 ,1,8,7,0
Q9,1.1 ,1.5 ,1,8,7,0
Q10,1.2 ,6.4 ,1,9,6,0
Q11,3.3 ,2.2 ,1,12,3,0
Q12,3.8 ,6.4 ,1,12,3,0
Q13,4.2 ,1.4 ,1,11,4,0
Q14,1.1 ,6.4 ,1,2,13,0
Q15,2.5 ,6.4 ,1,14,1,0
Q16,4.3 ,6.4 ,1,7,8,0
Q17,1.2 ,2.2 ,1,3,12,0
Q18,4.3 ,6.4 ,1,2,13,0
Q19,4.2 ,2.2 ,1,6,9,0
Q20,2.6 ,2.2 ,1,8,7,0
Q21,1.2 ,6.4 ,1,3,12,0
